id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
400,Pinguicula moranensis,Pinguicula,moranensis,,Diflora,,Mar 2026,alive,,Gift with order
401,Pinguicula sp. 'Lautner 92/52' × gypsicola 'Buenavista',Pinguicula,sp.,'Lautner 92/52' × gypsicola 'Buenavista',Un Angolo di Deserto,,Mar 2026,alive,,
343,Platycerium bifurcatum,Platycerium,bifurcatum,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown; staghorn fern
344,Platycerium veitchii,Platycerium,veitchii,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown; staghorn fern
256,Platystele baqueroi,Platystele,baqueroi,,Ecuagenera Europe,24.26,Apr 2024,alive,,€75 voucher applied from order #10346
106,Pleurothallis leptotifolia,Pleurothallis,leptotifolia,,Orchideria di Morosolo,15,May 2023,alive,,Su zattera (mounted)
282,Pogonia ophioglossoides,Pogonia,ophioglossoides,,eBay (westcornwallcarnivores),5.8,Nov 2019,alive,,Originally £5.00 GBP (Nov 2019 rate ~1.16); ≈GBP 11 total incl. shipping
345,Pyrrosia nummularifolia,Pyrrosia,nummularifolia,,From growlist (May 2020),See notes,,lost,,Vendor/date unknown
29,Roridula gorgonias,Roridula,gorgonias,,Gartenbau Carow,48.8,May 2019,lost,,With symbiotic Pameridea bug
301,Rosa 'Sorbet Fruité',Rosa,,'Sorbet Fruité',"Meilland (Yacht & Garden, Genoa)",See notes,2019–2020,alive,,In-person purchase at Yacht & Garden show; exact year uncertain (2019 or 2020)
289,Salvinia auriculata,Salvinia,auriculata,,Water Plants Italy,3.5,Mar 2020,alive,,Porzione piante a radice nuda (bare root)
91,"Sarracenia alata 'Black tubes, pubescent form'",Sarracenia,alata,"'Black tubes, pubescent form'",Carnivoria.eu,30,Mar 2016,alive,,45-60cm; adult
128,Sarracenia cv. 'Leviathan',Sarracenia,cv.,'Leviathan',Hewitt-Cooper Carnivorous Plants,53.1,Feb 2020,alive,,Originally £45.00 GBP (Feb 2020 rate ~1.18); ≈€81.51 EUR total incl. shipping
129,Sarracenia 'Scarlet Belle',Sarracenia,,'Scarlet Belle',Nature et Paysages,16,Jan 2017,given,,
131,Sarracenia 'Judith Hindle',Sarracenia,,'Judith Hindle',Nature et Paysages,18,Jan 2017,alive,,
133,Sarracenia 'Juthatip Soper',Sarracenia,,'Juthatip Soper',Novaflora,28.8,Nov 2016,given,,
138,Sarracenia flava var. rubricorpora 'Burgundy',Sarracenia,flava,var. rubricorpora 'Burgundy',Klein Carnivors,See notes,Mar 2016,given,,MK F 26; prices in PDF invoice; also acquired from Tavecchio Oct 2017
